directory_path,repository_name,repository_tag,type
slack-message,dotenx/task-and-trigger,slack-send-message-lambda6,task
airtable-create-record,dotenx/task-and-trigger,airtable-create-record-lambda,task
database-insert-query,dotenx/task-and-trigger,database-add-record-lambda6,task
database-delete-query,dotenx/task-and-trigger,database-delete-record-lambda4,task
database-select-query,dotenx/task-and-trigger,database-get-records-lambda9,task
database-run-custom-query,dotenx/task-and-trigger,database-run-custom-query-lambda,task
database-update-query,dotenx/task-and-trigger,database-update-record-lambda6,task
discord-channel-message,dotenx/task-and-trigger,send-discord-message-lambda4,task
http-call,dotenx/task-and-trigger,dotenx-http-call-lambda6,task
facebook-publish-post,dotenx/task-and-trigger,facebook-publish-post-lambda4,task
google-send-email,dotenx/task-and-trigger,google-send-email-lambda4,task
hubspot-create-company,dotenx/task-and-trigger,hubspot-create-company-lambda,task
hubspot-create-contact,dotenx/task-and-trigger,hubspot-create-contact-lambda,task
hubspot-create-deal,dotenx/task-and-trigger,hubspot-create-deal-lambda,task
hubspot-create-engagement,dotenx/task-and-trigger,hubspot-create-engagement-lambda,task
hubspot-create-ticket,dotenx/task-and-trigger,hubspot-create-ticket-lambda,task
create-jira-ticket,dotenx/task-and-trigger,create-jira-ticket-lambda5,task
mailchimp-add-new-subscriber,dotenx/task-and-trigger,mailchimp-add-new-subscriber-lambda,task
mailchimp-archive-subscriber,dotenx/task-and-trigger,mailchimp-archive-subscriber-lambda,task
sendgrid-send-email,dotenx/task-and-trigger,sendgrid-send-email-lambda7,task
starshipit-create-order,dotenx/task-and-trigger,starshipit-create-order-lambda3,task
stripe-create-customer,dotenx/task-and-trigger,stripe-create-customer-lambda5,task
stripe-create-payment-link,dotenx/task-and-trigger,stripe-create-payment-link-lambda4,task
stripe-create-price,dotenx/task-and-trigger,stripe-create-price-lambda,task
stripe-create-product,dotenx/task-and-trigger,stripe-create-product-lambda,task
stripe-find-customer,dotenx/task-and-trigger,stripe-find-customer-lambda5,task
stripe-update-customer,dotenx/task-and-trigger,stripe-update-customer-lambda5,task
stripe-update-product,dotenx/task-and-trigger,stripe-update-product-lambda,task
twitter-send-tweet,dotenx/task-and-trigger,twitter-send-tweet-lambda5,task
youtube-upload-file,dotenx/task-and-trigger,youtube-upload-file-lambda4,task
airtable-new-record,dotenx/task-and-trigger,airtable-new-record-lambda,trigger
dropbox-upload-new-file,dotenx/task-and-trigger,dropbox-upload-new-file-lambda4,trigger
ebay-new-order,dotenx/task-and-trigger,ebay-new-order-lambda4,trigger
facebook-publish-new-post,dotenx/task-and-trigger,facebook-publish-new-post-lambda5,trigger
google-new-email,dotenx/task-and-trigger,google-new-email-lambda6,trigger
gumroad-new-sale,dotenx/task-and-trigger,gumroad-new-sale-lambda,trigger
gumroad-new-subscriber,dotenx/task-and-trigger,gumroad-new-subscriber-lambda,trigger
hubspot-new-contact,dotenx/task-and-trigger,hubspot-new-contact-lambda,trigger
hubspot-new-deal,dotenx/task-and-trigger,hubspot-new-deal-lambda,trigger
hubspot-new-email-event,dotenx/task-and-trigger,hubspot-new-email-event-lambda,trigger
hubspot-new-form-submission,dotenx/task-and-trigger,hubspot-new-form-submission-lambda,trigger
hubspot-new-ticket,dotenx/task-and-trigger,hubspot-new-ticket-lambda,trigger
mailchimp-new-subscriber,dotenx/task-and-trigger,mailchimp-new-subscriber-lambda,trigger
mailchimp-new-unsubscriber,dotenx/task-and-trigger,mailchimp-new-unsubscriber-lambda,trigger
slack-new-message,dotenx/task-and-trigger,slack-new-message-lambda5,trigger
stripe-new-invoice,dotenx/task-and-trigger,stripe-new-invoice-lambda4,trigger
stripe-payment-completed,dotenx/task-and-trigger,stripe-payment-completed-lambda6,trigger
twitter-new-tweet,dotenx/task-and-trigger,twitter-new-tweet-lambda5,trigger
typeform-new-response,dotenx/task-and-trigger,typeform-new-response-lambda5,trigger
